new_id,old_id
CCMSLIB00012722494,CCMSLIB00012173110
CCMSLIB00012722495,CCMSLIB00012173111
CCMSLIB00012722496,CCMSLIB00012173112
CCMSLIB00012722497,CCMSLIB00012173113
CCMSLIB00012722498,CCMSLIB00012173114
CCMSLIB00012722499,CCMSLIB00012173115
CCMSLIB00012722500,CCMSLIB00012173116
CCMSLIB00012722501,CCMSLIB00012173117
CCMSLIB00012722502,CCMSLIB00012173118
CCMSLIB00012722503,CCMSLIB00012173119
CCMSLIB00012722504,CCMSLIB00012173132
CCMSLIB00012722505,CCMSLIB00012173133
CCMSLIB00012722506,CCMSLIB00012173134
CCMSLIB00012722507,CCMSLIB00012173156
CCMSLIB00012722508,CCMSLIB00012173159
CCMSLIB00012722509,CCMSLIB00012173160
CCMSLIB00012722510,CCMSLIB00012173161
CCMSLIB00012722511,CCMSLIB00012173162
CCMSLIB00012722512,CCMSLIB00012173164
CCMSLIB00012722513,CCMSLIB00012173165
CCMSLIB00012722514,CCMSLIB00012173169
CCMSLIB00012722515,CCMSLIB00012173170
CCMSLIB00012722516,CCMSLIB00012173172
CCMSLIB00012722517,CCMSLIB00012173173
CCMSLIB00012722518,CCMSLIB00012173174
CCMSLIB00012722519,CCMSLIB00012173175
CCMSLIB00012722520,CCMSLIB00012173176
CCMSLIB00012722521,CCMSLIB00012173177
CCMSLIB00012722522,CCMSLIB00012173178
CCMSLIB00012722523,CCMSLIB00012173180
CCMSLIB00012722524,CCMSLIB00012173181
CCMSLIB00012722525,CCMSLIB00012173182
CCMSLIB00012722526,CCMSLIB00012173183
CCMSLIB00012722527,CCMSLIB00012173184
CCMSLIB00012722528,CCMSLIB00012173185
CCMSLIB00012722529,CCMSLIB00012173186
CCMSLIB00012722530,CCMSLIB00012173187
CCMSLIB00012722531,CCMSLIB00012173188
CCMSLIB00012722532,CCMSLIB00012173189
CCMSLIB00012722533,CCMSLIB00012173190
CCMSLIB00012722534,CCMSLIB00012173191
CCMSLIB00012722535,CCMSLIB00012173192
CCMSLIB00012722536,CCMSLIB00012173193
CCMSLIB00012722537,CCMSLIB00012173194
CCMSLIB00012722538,CCMSLIB00012173195
CCMSLIB00012722539,CCMSLIB00012173196
CCMSLIB00012722540,CCMSLIB00012173197
CCMSLIB00012722541,CCMSLIB00012173198
CCMSLIB00012722542,CCMSLIB00012173199
CCMSLIB00012722543,CCMSLIB00012173201
CCMSLIB00012722544,CCMSLIB00012173202
CCMSLIB00012722545,CCMSLIB00012173203
CCMSLIB00012722546,CCMSLIB00012173204
CCMSLIB00012722547,CCMSLIB00012173205
CCMSLIB00012722548,CCMSLIB00012173206
CCMSLIB00012722549,CCMSLIB00012173207
CCMSLIB00012722550,CCMSLIB00012173208
CCMSLIB00012722551,CCMSLIB00012173209
CCMSLIB00012722552,CCMSLIB00012173210
CCMSLIB00012722553,CCMSLIB00012173211
CCMSLIB00012722554,CCMSLIB00012173212
CCMSLIB00012722555,CCMSLIB00012173213
CCMSLIB00012722556,CCMSLIB00012173214
CCMSLIB00012722557,CCMSLIB00012173215
CCMSLIB00012722558,CCMSLIB00012173216
CCMSLIB00012722559,CCMSLIB00012173222
CCMSLIB00012722560,CCMSLIB00012173223
CCMSLIB00012722561,CCMSLIB00012173224
CCMSLIB00012722562,CCMSLIB00012173229
CCMSLIB00012722563,CCMSLIB00012173230
CCMSLIB00012722564,CCMSLIB00012173247
CCMSLIB00012722565,CCMSLIB00012173248
CCMSLIB00012722566,CCMSLIB00012173249
CCMSLIB00012722567,CCMSLIB00012173250
CCMSLIB00012722568,CCMSLIB00012173251
CCMSLIB00012722569,CCMSLIB00012173252
CCMSLIB00012722570,CCMSLIB00012173253
CCMSLIB00012722571,CCMSLIB00012173254
CCMSLIB00012722572,CCMSLIB00012173255
CCMSLIB00012722573,CCMSLIB00012173256
CCMSLIB00012722574,CCMSLIB00012173257
CCMSLIB00012722575,CCMSLIB00012173258
CCMSLIB00012722576,CCMSLIB00012173281
CCMSLIB00012722577,CCMSLIB00012173283
CCMSLIB00012722578,CCMSLIB00012173285
CCMSLIB00012722579,CCMSLIB00012173286
CCMSLIB00012722580,CCMSLIB00012173287
CCMSLIB00012722581,CCMSLIB00012173288
CCMSLIB00012722582,CCMSLIB00012173289
CCMSLIB00012722583,CCMSLIB00012173290
CCMSLIB00012722584,CCMSLIB00012173293
CCMSLIB00012722585,CCMSLIB00012173294
CCMSLIB00012722586,CCMSLIB00012173295
CCMSLIB00012722587,CCMSLIB00012173296
CCMSLIB00012722588,CCMSLIB00012173297
CCMSLIB00012722589,CCMSLIB00012173298
CCMSLIB00012722590,CCMSLIB00012173299
CCMSLIB00012722591,CCMSLIB00012173300
CCMSLIB00012722592,CCMSLIB00012173301
CCMSLIB00012722593,CCMSLIB00012173303
CCMSLIB00012722594,CCMSLIB00012173304
CCMSLIB00012722595,CCMSLIB00012173306
CCMSLIB00012722596,CCMSLIB00012173307
CCMSLIB00012722597,CCMSLIB00012173309
CCMSLIB00012722598,CCMSLIB00012173310
CCMSLIB00012722599,CCMSLIB00012173311
CCMSLIB00012722600,CCMSLIB00012173312
CCMSLIB00012722601,CCMSLIB00012173313
CCMSLIB00012722602,CCMSLIB00012173315
CCMSLIB00012722603,CCMSLIB00012173316
CCMSLIB00012722604,CCMSLIB00012173317
